Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.103055556,150.1453415,,0.171111111,0.21257373,,0.106944444,451.9725029,,0.098055556,0.265441808,,0.169444444,445.9014853,
0.103888889,150.5429535,,0.171111111,0.239007769,,0.108333333,452.2643788,,0.098055556,0.265441808,,0.169444444,433.201031,
0.104722222,151.0991697,,0.171111111,0.239007769,,0.109722222,454.1202686,,0.098055556,0.318309886,,0.169444444,431.265839,
0.105555556,151.4703477,,0.171111111,0.239007769,,0.110555556,453.5904864,,0.098055556,0.265441808,,0.172222222,445.9014853,
0.106666667,151.6300533,,0.171111111,0.186139691,,0.111944444,455.4199422,,0.098055556,0.291875847,,0.175,446.1404931,
0.107777778,152.3459752,,0.171111111,0.239007769,,0.113611111,457.1700958,,0.098055556,0.265441808,,0.177222222,447.3861972,
0.108333333,149.4029855,,0.171111111,0.21257373,,0.114166667,451.1772789,,0.098055556,0.239007769,,0.179444444,445.6889116,
0.109166667,151.6036193,,,,,0.115,449.8522727,,0.098055556,0.291875847,,0.181111111,438.451492,
0.11,152.9814936,,,,,0.115555556,450.5946286,,0.098055556,0.239007769,,0.182222222,441.0761718,
0.110833333,151.6829214,,,,,0.116666667,461.2266194,,0.098055556,0.265441808,,0.1825,442.056434,
0.111944444,152.0805334,,,,,0.1175,462.6837958,,,,,0.183888889,443.6215494,
0.113055556,151.6564874,,,,,0.118888889,462.2333157,,,,,0.184444444,446.511671,
0.114444444,151.0198676,,,,,0.12,463.0825092,,,,,0.186388889,445.9807874,
0.115833333,150.1717755,,,,,0.121111111,456.7713824,,,,,0.188055556,448.049251,
0.116944444,149.5351557,,,,,0.121666667,461.0404797,,,,,0.19,443.5686814,
0.118333333,148.0504439,,,,,0.122777778,459.661504,,,,,0.191666667,444.6282458,
0.12,146.565732,,,,,0.123611111,461.4909598,,,,,0.192222222,434.2881308,
0.120833333,143.1458282,,,,,0.124722222,461.8885718,,,,,0.194722222,437.2311205,
0.121666667,144.8959819,,,,,0.125833333,462.0218434,,,,,0.196944444,433.9169529,
0.1225,140.6268846,,,,,0.126944444,460.8818755,,,,,0.2,422.7816139,
0.1225,140.0431329,,,,,0.128055556,463.6915935,,,,,0.206666667,0.371177964,
0.124166667,139.6455209,,,,,0.129166667,467.271203,,,,,0.207222222,0.371177964,
0.125555556,136.8622369,,,,,0.13,467.4033732,,,,,0.206944444,0.318309886,
0.126944444,133.7066735,,,,,0.130277778,461.6242314,,,,,0.206944444,0.344743925,
